date,amount,category,description
2026-06-29,41.18,Groceries,LIDL-SI 315
2026-06-30,4.99,Subscriptions,"NAKUP APPLE.COM/BILL 4,99 EUR"
2026-06-30,12.10,Food & Drink,COLNARNA TIVOLI
2026-07-01,89.31,Photography,FOTO-KLIK D.O.O.
2026-07-01,29.34,Food & Drink,"NAKUP Wolt 29,34 EUR"
2026-07-02,592.00,Bills,TREE CAPITAL D.O.O.
2026-07-02,0.40,Bills,PROVIZIJA
2026-07-02,45.18,Bills,"A1 SLOVENIJA, D. D."
2026-07-02,0.40,Bills,PROVIZIJA
2026-07-02,125.00,Health & Wellbeing,"NAKUP Care of Carl 125,00 EUR"
2026-07-02,6.24,Shopping,RESERVED
2026-07-02,10.17,Groceries,ASIA SUPERMARKET
2026-07-02,8.70,Food & Drink,BESTERO*TETRA FRIDA CI
2026-07-03,10.99,Subscriptions,"NAKUP help.hbomax.com 10,99 EUR"
2026-07-04,45.14,Groceries,LIDL-SI 217
2026-07-04,71.76,Transport,PETROL BS CELJE - LAN
2026-07-06,21.86,Food & Drink,Wolt Slovenia
2026-07-06,6.30,Health & Wellbeing,Tenis center Tivoli
2026-07-07,4.99,Subscriptions,"NAKUP APPLE.COM/BILL 4,99 EUR"
2026-07-08,114.95,Shopping,"NAKUP SPORTISIMO.COM 114,95 EUR"
2026-07-08,6.56,Groceries,LIDL-SI 221
2026-07-08,8.90,Food & Drink,Gins-Bar-Lounge
2026-07-09,168.48,Cycling,"NAKUP Bike24 GmbH 168,48 EUR"
2026-07-09,1.99,Subscriptions,"NAKUP Google One 1,99 EUR"
2026-07-11,16.85,Groceries,LIDL-SI 230
2026-07-11,10.00,Food & Drink,LOKALPATRIOT
2026-07-13,1000.00,Other,DVIG GOTOVINE DOMA
2026-07-13,22.00,Health & Wellbeing,TENGO TENNIS
2026-07-13,18.56,Groceries,INTERSPAR ALEJA
2026-07-14,4.99,Subscriptions,"NAKUP APPLE.COM/BILL 4,99 EUR"
2026-07-14,34.27,Food & Drink,Wolt Slovenia
2026-07-15,34.49,Groceries,LIDL LJUBLJANA
2026-07-16,80.81,Transport,PETROL BS LJUBLJANA -
2026-07-16,15.00,Transport,"NAKUP AUTOCESTA A1 MASLENICA 15,00 EUR"
2026-07-19,75.00,Travel,"NAKUP CAMPING KOZARICA 75,00 EUR"
2026-07-20,6.74,Groceries,EUROSPIN EKO PE LJ-BRD
2026-07-20,15.00,Transport,"NAKUP DIONICA ZAGREB-BOSILJE 15,00 EUR"
2026-07-20,8.49,Transport,"NAKUP PETROL PM NADIN AC - 8,49 EUR"
2026-07-20,52.86,Groceries,LIDL-SI 315
2026-07-20,72.71,Transport,PETROL BS LJUBLJANA -
2026-07-20,19.93,Food & Drink,Wolt Slovenia
2026-07-21,2.99,Subscriptions,"NAKUP APPLE.COM/BILL 2,99 EUR"
2026-07-21,124.06,Shopping,"NAKUP AMZN Mktp DE*S87Y61035 124,06 EUR"
2026-07-21,4.99,Subscriptions,"NAKUP APPLE.COM/BILL 4,99 EUR"
2026-07-23,29.34,Food & Drink,"NAKUP Wolt 29,34 EUR"
2026-07-24,99.83,Groceries,LIDL-SI 201
2026-07-24,22.94,Groceries,EUROSPIN EKO PE BREZIC
2026-07-26,5.20,Food & Drink,BESTERO*BEACH BAR TOCH
2026-07-27,47.66,Groceries,LIDL-SI 315
2026-07-28,4.99,Subscriptions,"NAKUP APPLE.COM/BILL 4,99 EUR"
2026-07-28,7.00,Health & Wellbeing,ZAVOD SPORT LJUBLJANA
2026-07-28,35.98,Cycling,"NAKUP GOPAY *MTBIKER.SI 35,98 EUR"
2026-07-29,25.85,Shopping,MERKUR VIC LJUBLJANA
2026-07-30,45.18,Bills,"A1 SLOVENIJA, D. D."
2026-07-30,0.40,Bills,PROVIZIJA
2026-07-31,2.99,Bills,STR VOD. PAKETA
