date,amount,category,description
2026-07-06,0.42,Bills,EB - PROVIZIJA ZA PLAČILO UPN
2026-07-09,116.95,Health & Wellbeing,TENGO TENNIS
2026-07-11,20.00,Other,DVIG GOTOVINE NA BA CELJE BA01098N
2026-07-15,39.98,Health & Wellbeing,ALEJA-OPTIKA CLARUS
2026-07-15,15.00,Food & Drink,wolt
2026-07-14,18.45,Groceries,MUeLLER LJUBLJANA 4929
2026-07-18,0.40,Bills,EB - PROVIZIJA ZA PLAČILO UPN
2026-07-22,1.99,Subscriptions,Google One
2026-07-26,11.20,Food & Drink,Wolt Slovenia
2026-07-29,10.18,Groceries,MUeLLER LJUBLJANA 4929
2026-07-29,23.21,Groceries,INTERSPAR VIC
