date,amount,category,description
2026-07-15,5.00,,Automatic servis d.o.o
2026-07-04,136.72,,Decathlon Ljubljana
2026-07-04,10.00,,Revolut**1076*
2026-07-06,12.80,,ATLET. DRUS. KLADIVAR
2026-07-06,30.00,,RAČUN ŠT. 912-1-294047 50032179
2026-07-06,4.50,,matcha
2026-07-10,61.98,,Stradivarius.com
2026-07-12,75.30,,Azijska restvaracija T
2026-07-13,35.00,,dekliščina
2026-07-13,56.49,,MASS PE ALEJA
2026-07-17,118.29,,PLAČILO RAČUNA 65-2026
2026-07-22,22.61,,racun telefon
2026-07-28,5.00,,Automatic servis d.o.o
2026-07-30,3.10,,MESEČNI STROŠKI VODENJA OSEBNEGA RAČUNA
2026-07-31,0.80,,VODENJE EB
2026-07-31,1.50,,STROŠEK SMS OBVEŠČANJE PO KARTICI 498708******3270
2026-07-31,6.00,,TAKOJŠNJE PLAČILO - ODLIV
